State,ASSIGN,BOOLF,BOOLV,CALCULATE,CREATE,DIVISION,ELSE,FLOAT,FROM,GREATER_THAN,IDENTIFIER,IF,IN,INCREMENT,INT,IN_LV,IN_OP,IS,LESS_THAN,MINUS,MULTI,NOM,OUT_LV,OUT_OP,PAPER,PLUS,POSITION,RETURN,SEPARATOR,SQRT,STRING,STRING_LITERAL,THEN,TO,WHILE,$,accion_simple,asignacion,asignacion_simple,bloque_en_celda,condicion_while,crear_lienzo,expresion,expresion_aritmetica,instruccion,lista_acciones,logica_bloque,op_aritmetico,op_relacional,programa,programa',sentencia_calculate,sentencia_from,sentencia_if,sentencia_return,sentencia_sqrt,sentencia_while,tipo,valor,valor_simple
74,,,,,,,,,,,,,,,,,,,,,,,,r21,,,r21,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,
76,,,,,,,,,,,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,s57,,,,,,,,,,,,,,s56,s58,,,r24,,s60,r24,,r24,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,r26,,,r26,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,r36,,,,,,,,,,,,,,r36,r36,,,r36,,r36,r36,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,r29,,,,,,,,,,,,,,r29,r29,,,r29,,r29,r29,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,r35,,,,,,,,s93,,,,,,r35,r35,,,r35,,r35,r35,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,r17,,,s95,,s94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,r14,,,s96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,r7,,,,,,,,,,,,,,,,,,,,r7,,,,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,s105,,,,s103,,s99,,,,,,,,,,,s100,,,,,,,,,98,,,,,,,101,,,,,,,,,,,102,,,,,104
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,r20,,,r20,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,s109,,,,s79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
93,,,,,,,,,,,,,,,,,,,,,,,,r25,,,r25,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,s81,,,,s79,,s75,,,,,,,,,,,s76,,,,,,,,,110,,,,,,,77,,,,,,,,,,,78,,,,,80
95,,,,,,,,,,,s81,,,,s79,,s75,,,,,,,,,,,s76,,,,,,,,,111,,,,,,,77,,,,,,,,,,,78,,,,,80
96,,,,,,,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,s113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,
100,,,,,,,,,,,s115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,s57,,,,,,,,,,,,,,s56,s58,,,r24,,s60,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,r36,,,,,,,,,,,,,,r36,r36,,,r36,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,r29,,,,,,,,,,,,,,r29,r29,,,r29,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,r35,,,,,,,,s117,,,,,,r35,r35,,,r35,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,r27,,,r27,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,r30,,,,,,,,,,,,,,r30,r30,,,r30,,r30,r30,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,r35,,,,,,,,,,,,,,r35,r35,,,r35,,r35,r35,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,r22,,,r22,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,r23,,,r23,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,s119,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,r40,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,s122,,,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121
117,,,,,,,,,,,,,,,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,s123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,r30,,,,,,,,,,,,,,r30,r30,,,r30,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,r35,,,,,,,,,,,,,,r35,r35,,,r35,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,s124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
